agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
goal_based,hard,15,caught,490,52,7.15,32,0,11,5,-530.4
utility_based,hard,15,caught,130,13,1.87,60,0,0,0,-872.6
learning,hard,15,caught,1070,68,9.24,22,2,17,3,50.4
greedy,hard,15,caught,130,13,1.87,60,0,0,0,-872.6
random,hard,15,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,16,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,16,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,16,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,16,caught,490,54,7.37,32,0,13,5,-530.8
utility_based,hard,16,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,16,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,16,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,16,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,17,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,17,caught,600,57,7.81,41,1,25,2,-415.4
model_based,hard,17,caught,760,59,8.03,29,1,15,0,-251.8
goal_based,hard,17,caught,470,61,8.36,34,0,22,7,-556.2
utility_based,hard,17,caught,520,52,7.15,29,0,8,4,-498.4
learning,hard,17,caught,1020,57,7.81,27,2,11,1,6.6
greedy,hard,17,caught,520,52,7.15,29,0,8,4,-498.4
random,hard,17,caught,210,55,7.425,56,0,38,23,-847.0
table_driven,hard,18,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,18,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,18,caught,560,56,7.59,29,0,12,0,-451.2
goal_based,hard,18,caught,490,57,7.81,32,0,16,5,-531.4
utility_based,hard,18,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,18,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,18,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,18,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,19,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,19,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,19,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,19,win,890,101,13.635,0,0,28,9,2851.8
utility_based,hard,19,caught,870,101,13.75,2,0,30,9,-168.2
learning,hard,19,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,19,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,19,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,20,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,20,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,20,caught,560,56,7.59,29,0,12,0,-451.2
goal_based,hard,20,win,1090,101,13.635,0,1,28,9,3051.8
utility_based,hard,20,caught,870,104,14.04,2,0,33,10,-170.8
learning,hard,20,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,20,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,20,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,21,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,21,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,21,caught,560,59,8.03,29,0,15,0,-451.8
goal_based,hard,21,caught,510,58,7.92,30,0,15,8,-517.6
utility_based,hard,21,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,21,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,21,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,21,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,22,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,22,caught,100,10,1.43,63,0,0,0,-902.0
